Chef's Specials,特别餐,Emerald Shrimp,Emerald Shrimp,,,,S12,,9.95,,,,,,1,,,
Chef's Specials,特别餐,Tung Ting Shrimp,Tung Ting Shrimp,,,,S13,,9.95,,,,,,1,,,
Chef's Specials,特别餐,Sesame Shrimp,Sesame Shrimp,,,,S14,,,,,,,1,1,,,
Chef's Specials,特别餐,Rainbow Shrimp,Rainbow Shrimp,,,,S15,,10.5,,,,,,1,,,
Chef's Specials,特别餐,Sesame Chicken,Sesame Chicken,,,,S16,,9.75,L34,5.25,21,7.5,1,1,,,
Chef's Specials,特别餐,Chicken w. Orange Flavor,Chicken w. Orange Flavor,,,,S17,,9.75,,,,,,1,,,
Chef's Specials,特别餐,Sesame Beef,Sesame Beef,,,,S18,,10.5,,,,,1,1,,,
Chef's Specials,特别餐,Beef w. Orange Flavor,Beef w. Orange Flavor,,,,S19,,10.5,,,,,1,1,,,
Chef's Specials,特别餐,Four Seasons,Four Seasons,,,,S20,,10.05,,,,,,1,,,
Chef's Specials,特别餐,General Tso's Shrimp,General Tso's Shrimp,,,,S21,,10.5,,,,,1,1,,,
Chef's Specials,特别餐,Mongolian Chicken,Mongolian Chicken,,,,S22,,9.95,,,,,,1,,,
Chef's Specials,特别餐,Season Triple Delight,Season Triple Delight,,,,S23,,19.95,,,,,,1,,,
Chef's Specials,特别餐,Mongolian Beef,Mongolian Beef,,,,S24,,14.95,L36,5.25,,,,1,,,
Chef's Specials,特别餐,Filet Mignon Steak w. Blk Pepper,Filet Mignon Steak w. Black Pepper,,,,S25,,14.95,,,,,,1,,,
Chef's Specials,特别餐,Scallops in Orange Flavor,Scallops in Orange Flavor,,,,S26,,10.95,,,,,1,1,,,
Chef's Specials,特别餐,Happy Family,Happy Family,,,,S28,,11.25,,,,,,1,,,
Chef's Specials,特别餐,Lobster in Cantonese Sauce,Lobster in Cantonese Sauce,,,,S29,,14.95,,,,,,1,,,
Chef's Specials,特别餐,Lobster in Blk Bean Sauce,Lobster in Black Bean Sauce,,,,S29,,14.95,,,,,,1,,,
Chef's Specials,特别餐,Lobster in Chili Sauce,Lobster in Chili Sauce,,,,S29,,14.95,,,,,1,1,,,
Chef's Specials,特别餐,Soft Shell Crab in Garlic Sauce,Soft Shell Crab in Garlic Sauce,,,,S30,,14.95,,,,,,1,,,
Chef's Specials,特别餐,Jumbo Shr & Chkn w. Chinese Basil,Jumbo Shrimp & Chicken w. Chinese Basil,,,,S31,,10.95,,,,,,1,,,
Chef's Specials,特别餐,Aromatic Ginger Shrimp,Aromatic Ginger Shrimp,S32,,,S32,,10.95,,,,,,1,,,
Chef's Specials,特别餐,Pineapple Shrimp,Pineapple Shrimp,S33,,,S33,,10.95,,,,,,1,,,
Chef's Specials,特别餐,Curry Coconut Shrimp,Curry Coconut Shrimp,S34,,,S34,,10.95,,,,,1,1,,,
Chef's Specials,特别餐,General Tso's Chicken (no fried),General Tso's Chicken (no fried),S35,sauteed,,S35,,10.95,,,,,1,1,,,
Chef's Specials,特别餐,Sesame Chicken (no fried),Sesame Chicken (no fried),S35,sauteed,,S35,,10.95,,,,,1,1,,,
